Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3387.4,8.6976,0.0547,73.2972,127.3521,63.5683,0.1445,5.8117,1.6668,1.5895,2.5188,28.0587,1.8113,2.0083,0.075,0,1,0.404
3387.5,8.6976,0.0597,72.8819,126.4045,61.7295,0.1427,5.7093,1.7094,1.5783,2.521,28.083,1.7607,1.8955,0.0737,0,1,0.3913
3387.6,8.6973,0.057,72.7011,125.8143,60.2304,0.1417,5.6472,1.706,1.5554,2.5104,28.1071,1.7195,1.7969,0.0797,0,1,0.381
3387.7,8.6637,0.0507,72.73,125.5485,58.6911,0.1444,5.6165,1.6389,1.5235,2.4982,28.1085,1.7198,1.8178,0.0867,0,1,0.3703
3387.8,8.6633,0.0473,72.9157,126.0085,57.8786,0.1505,5.6124,1.6016,1.499,2.4945,28.1098,1.7033,1.8144,0.0889,0,1,0.3647
3387.9,8.6132,0.0503,73.0956,126.6624,56.6609,0.1591,5.6451,1.5706,1.4743,2.4998,28.1111,1.6768,1.7984,0.0859,0,1,0.3562
3388,8.6388,0.058,73.2707,127.525,59.3086,0.1603,5.7205,1.5544,1.4449,2.5081,28.0988,1.6272,1.74,0.0811,0,1,0.3745
3388.1,8.6976,0.066,73.4908,128.199,61.278,0.1674,5.8422,1.5431,1.4278,2.5132,28.0865,1.5829,1.6702,0.0782,0,1,0.3882
3388.2,8.6976,0.0705,73.7312,128.8244,59.043,0.1697,5.986,1.5414,1.4099,2.5119,28.0743,1.5472,1.6094,0.0789,0,1,0.3728
3388.3,8.6976,0.0702,73.9979,129.4001,57.42,0.1673,6.0997,1.4948,1.3811,2.5052,28.0765,1.5196,1.5887,0.0827,0,1,0.3615
3388.4,8.6973,0.0667,74.5708,130.271,56.6069,0.1643,6.1092,1.4362,1.3576,2.4953,28.0787,1.4899,1.5668,0.0883,0,1,0.356
3388.5,8.6556,0.0639,75.1385,131.0103,54.3923,0.1712,5.9755,1.3729,1.3275,2.4849,28.081,1.4355,1.477,0.0943,0,1,0.3407
3388.6,8.6973,0.0631,75.6488,131.4951,51.6473,0.1738,5.7432,1.266,1.2888,2.4717,28.0736,1.326,1.2672,0.1018,1,1,0.3219
3388.7,8.6637,0.0623,76.2008,132.1582,46.5428,0.1857,5.5175,1.2172,1.2671,2.4535,28.0663,1.1328,0.9144,0.1122,1,1,0.2867
