Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,KLOGH,SAND_FLAG,SW,VSH
3510.6,8.6483,0.0621,67.6063,112.8689,85.004,0.188,6.1927,2.7665,3.246,2.5975,26.8152,2.5661,2.2197,0.03,0.001,0,1,0.685
3510.7,8.6251,0.0576,66.928,110.4919,74.6769,0.1963,6.1673,2.9572,3.3673,2.5899,26.8342,2.4598,1.8989,0.0343,0.001,0,1,0.5919
3510.8,8.6485,0.0555,66.3236,109.4462,66.0172,0.1866,6.1275,3.0681,3.3969,2.5868,26.8531,2.5169,1.9633,0.0361,0.0013,0,1,0.5138
3510.9,8.6719,0.056,65.7192,108.4006,59.3161,0.1681,6.0914,3.0675,3.41,2.5848,26.8703,2.7002,2.2646,0.0373,0.0019,0,1,0.4535
3511,8.6719,0.0569,65.1424,107.3904,51.7755,0.1462,6.0704,3.1639,3.4352,2.5823,26.3261,2.9598,2.6575,0.0387,0.0029,0,1,0.3855
3511.1,8.6719,0.0563,64.8448,106.7402,46.6457,0.1266,6.0526,3.3582,3.4957,2.582,25.782,3.2152,3.049,0.0389,0.0037,0,1,0.3393
3511.2,8.6719,0.0539,64.5473,106.0899,40.8596,0.1101,6.0033,3.4887,3.552,2.5867,25.2384,3.4212,3.3709,0.0362,0.0038,0,1,0.2871
3511.3,8.6718,0.0519,64.2633,105.4706,38.007,0.096,5.9188,3.5845,3.5832,2.5986,24.8629,3.5885,3.571,0.0294,0.0026,0,1,0.2614
3511.4,8.6251,0.0529,64.2891,105.5615,36.2752,0.0869,5.857,3.7356,3.634,2.6163,24.4873,3.8525,3.933,0.02,0.0014,0,1,0.2457
3511.5,8.6485,0.0569,64.3149,105.6523,36.2568,0.0749,5.8726,3.8474,3.673,2.635,24.1123,4.2295,4.5416,0.02,0.0014,0,1,0.2455
3511.6,8.6719,0.0607,64.3413,105.7442,39.3466,0.07,5.951,3.9257,3.7097,2.6482,23.9208,4.4377,4.9586,0.02,0.0012,0,1,0.2733
3511.7,8.6719,0.0617,64.5712,105.9053,41.4955,0.0698,6.0296,4.0172,3.7399,2.6521,23.7293,4.4984,5.0963,0.02,0.0011,0,1,0.2927
3511.8,8.6719,0.0607,64.8028,106.0678,44.1148,0.0735,6.072,4.1027,3.7634,2.6505,23.5377,4.526,5.0827,0.02,0.001,0,1,0.3163
3511.9,8.6719,0.0598,65.0347,106.231,44.7066,0.0786,6.106,4.1584,3.7887,2.6486,23.3021,4.5616,5.0818,0.02,0.001,0,1,0.3217
3512,8.6719,0.0597,65.3061,106.7171,42.669,0.0828,6.1628,4.1801,3.7857,2.6471,23.0665,4.5479,4.9884,0.02,0.0011,0,1,0.3034
3512.1,8.6719,0.0601,65.5798,107.2225,40.9899,0.0846,6.2371,4.1926,3.7829,2.6451,22.8312,4.514,4.849,0.02,0.0012,0,1,0.2882
3512.2,8.6719,0.0613,65.8536,107.7279,39.1485,0.0833,6.2957,4.143,3.7566,2.6424,22.7189,4.3445,4.5349,0.02,0.0012,0,1,0.2716
3512.3,8.6719,0.0638,66.0996,108.2342,38.7167,0.0803,6.3142,4.0257,3.7322,2.6412,22.6065,4.2532,4.431,0.02,0.0013,0,1,0.2677
3512.4,8.6719,0.0665,66.3423,108.7406,39.2069,0.0777,6.2982,3.9861,3.7113,2.6418,22.4946,4.2328,4.4593,0.02,0.0012,0,1,0.2721
3512.5,8.6719,0.0675,66.5849,109.247,40.452,0.077,6.2693,3.9559,3.6857,2.642,22.5183,4.2193,4.4838,0.02,0.0012,0,1,0.2833
3512.6,8.6719,0.0663,66.7699,109.7754,42.2829,0.0785,6.2509,3.8966,3.6466,2.6397,22.5421,4.1724,4.4374,0.02,0.0011,0,1,0.2998
3512.7,8.6719,0.0644,66.9446,110.3077,42.4297,0.0803,6.2531,3.8105,3.6036,2.6366,22.5665,4.1006,4.3667,0.02,0.0011,0,1,0.3012
3512.8,8.6719,0.0634,67.1191,110.8392,42.0345,0.0815,6.2487,3.7468,3.5777,2.6357,22.8058,4.0661,4.3371,0.02,0.0011,0,1,0.2976
3512.9,8.6719,0.0634,67.2309,111.0774,40.6283,0.0824,6.205,3.65,3.5301,2.638,23.0451,4.0199,4.3148,0.02,0.0012,0,1,0.285
3513,8.6719,0.0638,67.327,111.242,39.8771,0.0846,6.1216,3.5609,3.4815,2.6422,23.2841,3.9343,4.22,0.02,0.0012,0,1,0.2782
3513.1,8.6719,0.0652,67.423,111.4062,40.2502,0.0887,6.0575,3.4784,3.4349,2.6458,23.4343,3.8265,4.0722,0.02,0.0012,0,1,0.2815
3513.2,8.6719,0.0691,67.4545,111.4216,40.2119,0.0935,6.0718,3.4099,3.3677,2.6469,23.5845,3.7219,3.9551,0.02,0.0012,0,1,0.2812
3513.3,8.6719,0.076,67.4648,111.3878,38.9243,0.0968,6.1476,3.3274,3.3181,2.645,23.734,3.6146,3.8418,0.02,0.0013,0,1,0.2695
3513.4,8.6719,0.082,67.4751,111.3539,40.4564,0.0971,6.2231,3.1663,3.2376,2.6371,23.6402,3.4733,3.6917,0.02,0.0012,0,1,0.2834
3513.5,8.672,0.0822,67.4856,111.3245,41.1709,0.0934,6.2573,3.0884,3.1824,2.6239,23.5465,3.2921,3.3958,0.02,0.0011,0,1,0.2898
3513.6,8.703,0.0762,67.4964,111.297,40.5334,0.091,6.2589,3.072,3.1597,2.6097,23.4534,3.1564,3.0929,0.023,0.0015,0,1,0.2841
3513.7,8.6719,0.0695,67.507,111.2699,39.5464,0.0913,6.2482,3.093,3.1452,2.6004,23.5812,2.9985,2.8027,0.0283,0.0023,0,1,0.2753
3513.8,8.6875,0.0658,67.4609,111.4504,37.1141,0.0892,6.226,2.9967,3.0969,2.5971,23.709,2.986,2.8666,0.0302,0.0029,0,1,0.2533
3513.9,8.7031,0.0636,67.385,111.7398,38.01,0.0905,6.2084,2.8798,3.023,2.596,23.8364,3.0968,3.1512,0.0309,0.0029,0,1,0.2612
3514,8.703,0.0603,67.3096,112.03,42.0065,0.0922,6.2176,2.876,2.9917,2.5965,23.8126,3.1276,3.2306,0.0306,0.0024,0,1,0.2972
3514.1,8.6719,0.0559,67.4637,112.6548,46.5918,0.0944,6.2395,2.9119,2.9714,2.6001,23.7889,3.0555,3.039,0.0285,0.0017,0,1,0.3385
3514.2,8.6719,0.0529,67.7659,113.4956,53.4044,0.0922,6.2397,2.9616,2.9503,2.6091,23.7651,2.9993,2.8824,0.0234,0.001,0,1,0.4
3514.3,8.6719,0.0524,68.0682,114.3369,55.4611,0.0888,6.2075,2.976,2.9121,2.6197,23.7171,3.098,3.0531,0.02,0.001,0,1,0.4187
3514.4,8.6719,0.0535,68.4685,115.3759,51.4009,0.0868,6.1825,2.9747,2.8674,2.6251,23.6691,3.1965,3.3583,0.02,0.001,0,1,0.3821
3514.5,8.6719,0.0554,68.9457,116.5706,47.7197,0.0887,6.1755,3.0533,2.8665,2.6245,23.6203,3.2028,3.352,0.02,0.001,0,1,0.3489
3514.6,8.6719,0.058,69.4229,117.7651,43.0132,0.0956,6.1635,3.1023,2.8516,2.6202,23.2904,3.2114,3.3876,0.02,0.0011,0,1,0.3065
3514.7,8.6875,0.0598,69.8296,118.8735,41.0629,0.1045,6.1317,3.0909,2.8015,2.6148,22.9606,3.2897,3.61,0.0201,0.0012,0,1,0.2889
3514.8,8.6719,0.0593,70.1693,119.8998,39.755,0.1165,6.095,3.0086,2.7319,2.6096,22.6327,3.3546,3.8487,0.0231,0.0015,0,1,0.2771
3514.9,8.6719,0.0586,70.509,120.9256,38.2291,0.1211,6.0702,2.9912,2.6706,2.607,22.9719,3.3301,3.828,0.0246,0.0018,0,1,0.2633
3515,8.672,0.0626,70.8459,121.7419,37.7302,0.1183,6.0511,3.0441,2.6631,2.6067,23.311,3.2546,3.6679,0.0247,0.0019,0,1,0.2588
3515.1,8.703,0.0736,71.1796,122.3161,38.2006,0.1095,6.0082,3.0966,2.6437,2.6021,23.6502,3.2095,3.5445,0.0273,0.0022,0,1,0.2631
3515.2,8.6719,0.0856,71.5132,122.8895,38.7538,0.105,5.9531,3.0126,2.5814,2.5839,23.9925,3.2169,3.6637,0.0377,0.0047,0,1,0.2681
3515.3,8.672,0.0869,71.7604,123.1566,37.2196,0.1019,5.9358,2.8528,2.5026,2.5513,24.3348,3.1985,3.8665,0.0563,0.0197,0,1,0.2543
3515.4,8.7031,0.0748,71.8868,122.9939,35.4828,0.102,5.9982,2.7574,2.4643,2.5191,24.6766,3.1597,3.7785,0.0748,0.0825,0,0.898,0.2386
3515.5,8.6875,0.0613,72.0131,122.831,34.6935,0.1119,6.1251,2.7289,2.4455,2.5076,24.8408,3.0123,3.386,0.0814,0.1383,0,0.8724,0.2315
3515.6,8.7031,0.0586,72.0917,122.5767,32.9083,0.1233,6.272,2.6295,2.4032,2.5216,25.0049,2.846,3.1453,0.0734,0.083,0,0.982,0.2154
3515.7,8.7032,0.0689,72.0887,122.1658,32.2309,0.1412,6.3665,2.4643,2.303,2.5453,25.1699,2.819,3.3386,0.0598,0.0313,0,1,0.2093
3515.8,8.7266,0.0847,72.0851,121.7548,32.467,0.1572,6.3748,2.5047,2.2329,2.5591,25.6276,2.8025,3.3821,0.0519,0.0174,0,1,0.2114
3515.9,8.7265,0.0951,71.8434,121.3277,34.3323,0.1734,6.2992,2.6527,2.2384,2.5517,26.0853,2.6217,2.8774,0.0561,0.0218,0,1,0.2282
3516,8.7031,0.0955,71.0968,120.8664,36.4101,0.1779,6.1767,2.6252,2.2391,2.5267,26.5426,2.4845,2.6195,0.0704,0.0574,0,1,0.2469
3516.1,8.6875,0.0882,70.3502,120.4051,39.628,0.1777,6.043,2.4155,2.1563,2.4948,26.8581,2.4574,2.7135,0.0886,0.1925,0,0.8893,0.2758
